"filename", "language", "TypeScript JSX", "JSON", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\contact\forms\serviceForms\ThirdServiceForm.tsx", "TypeScript JSX", 220, 0, 0, 0, 0, 25, 245
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\global\ContactButton.tsx", "TypeScript JSX", 83, 0, 0, 0, 16, 10, 109
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\global\Footer.tsx", "TypeScript JSX", 128, 0, 0, 0, 7, 9, 144
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\global\Navbar.tsx", "TypeScript JSX", 209, 0, 0, 0, 12, 15, 236
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\homepage\HomeAbout.tsx", "TypeScript JSX", 430, 0, 0, 0, 15, 17, 462
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\homepage\HomeApplications.tsx", "TypeScript JSX", 426, 0, 0, 0, 14, 18, 458
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\homepage\HomeProducts.tsx", "TypeScript JSX", 144, 0, 0, 0, 0, 12, 156
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\components\homepage\RecognitionSection.tsx", "TypeScript JSX", 138, 0, 0, 0, 4, 12, 154
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\utils\products.json", "JSON", 0, 38, 0, 0, 0, 0, 38
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\utils\services.json", "JSON", 0, 38, 0, 0, 0, 0, 38
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\utils\variables.ts", "TypeScript", 0, 0, 48, 0, 8, 12, 68
"Total", "-", 9179, 76, 48, 2, 220, 844, 10369
